Cut,Runners,Outs,Situation,Reminder,Pitcher,Catcher,1. Baseman,2. Baseman,3. Baseman,Shortstop,Leftfield,Centerfield,Rightfield
,Runner auf 3B,"0 Out, 1 Out",Flyout Centerfield,"Auch bei Runner auf 3B & 2B oder 3B & 2B & 1B; ggf. „Cut 3“ und „Cut 2B“ möglich
Tag Up durch Runner 3B & 2B! Runner 1B reguläres Baseruning
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Centerfielder abdecken,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
,Runner auf 3B,"0 Out, 1 Out",Flyout Rightfield,"Auch bei Runner auf 3B & 2B oder 3B & 2B & 1B; ggf. „Cut 3“ und „Cut 2B“ möglich
Tag Up durch Runner 3B & 2B! Runner 1B reguläres Baseruning
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Möglichen Wurf von Home / Relay an 2B abdecken; falls Rundown zw. 3B-Home = 3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
Cut 2B,Runner auf 1B,2 Outs,Flyball  Leftfield,"Auch bei Runner 3B & 1B; Kein Play bei Flyout!
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B” Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Ball aufnehmen und zum Relay / 3B werfen,Leftfielder abdecken,Möglichen Wurf von 3B oder Cut off ans 2B abdecken
Cut 2,Runner auf 1B,2 Outs,Flyball  Centerfield,"Auch bei Runner 3B & 1B; Kein Play bei Flyout!
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B” Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Centerfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen,Centerfielder abdecken
Cut 2,Runner auf 1B,2 Outs,Flyball  Rightfield,"Auch bei Runner 3B & 1B; Kein Play bei Flyout!
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B“ Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Wurf an 3B abdecken,Rightfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen
Cut 2B,Runner auf 2B,2 Outs,Flyball  Leftfield,"Auch bei Runner auf 3B & 2B, 2B & 1B oder 3B & 2B & 1B;
bei Runner auf 1B auch „Cut 3B“ möglich; Kein Play bei Flyout!
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B“ Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Leftfielder abdecken,Möglichen Wurf von Home oder Relay an 2B abdecken
Cut 2B,Runner auf 2B,2 Outs,Flyball  Centerfield,"Auch bei Runner auf 3B & 2B, 2B & 1B oder 3B & 2B & 1B;
bei Runner auf 1B auch „Cut 3B“ möglich; Kein Play bei Flyout!
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Centerfielder abdecken,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
Cut 2B,Runner auf 2B,2 Outs,Flyball  Rightfield,"Auch bei Runner auf 3B & 2B, 2B & 1B oder 3B & 2B & 1B;
bei Runner auf 1B auch „Cut 3B“ möglich; Kein Play bei Flyout!
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Möglichen Wurf von Home / Relay an 2B abdecken; falls Rundown zw. 3B-Home = 3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
,Kein Runner,"0 Out, 1 Out, 2 Outs",Sure Double Leftfield-Line,"Double Relay mit Shortstop und 2. Baseman
Auch bei Runner auf 3B und/oder 2B
",Wurf an 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen",Kommunikation mit Leftfielder,Möglichen Wurf von 3B / Relay an 2B abdecken
,Kein Runner,"0 Out, 1 Out, 2 Outs",Sure Double Left-Centerfield-Gap,"Double Relay mit Shortstop und 2. Baseman; Kommunikation LF / CF
Auch bei Runner auf 3B und/oder 2B
",Wurf an 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen","Zum Ball gehen, ggf. aufnehmen und zum Relay werfen",Möglichen Wurf von 3B / Relay an 2B abdecken
,Kein Runner,"0 Out, 1 Out, 2 Outs",Sure Double Right-Centerfield-Gap,"Double Relay mit Shortstop und 2. Baseman; Kommunikation CF / RF
Auch bei Runner auf 3B und/oder 2B
",Wurf an 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,Wurf an 3B abdecken,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen","Zum Ball gehen, ggf. aufnehmen und zum Relay werfen"
,Kein Runner,"0 Out, 1 Out, 2 Outs",Sure Double Rightfield-Line,"Double Relay mit Shortstop und 2. Baseman
Auch bei Runner auf 3B und/oder 2B
",Wurf an 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,Wurf an 3B abdecken,Kommunikation mit Rightfielder,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen"
,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Sure Double Leftfield-Line,"Double Relay mit Shortstop und 2. Baseman
Auch bei Runner auf 3B & 1B, 2B & 1B, 3B & 2B & 1B
",Wurf an Home abdecken,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play); Spielzug akustisch steuern",Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,3B absichern,Relay Position einnehmen,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen",Kommunikation mit Leftfielder,Möglichen Wurf von Relay / 3B an 2B abdecken
,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Sure Double Left-Centerfield-Gap,"Double Relay mit Shortstop und 2. Baseman; Kommunikation LF / CF
Auch bei Runner auf 3B & 1B, 2B & 1B, 3B & 2B & 1B
",Wurf an Home abdecken,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play); Spielzug akustisch steuern",Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,3B absichern,Relay Position einnehmen,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen","Zum Ball gehen, ggf. aufnehmen und zum Relay werfen",Möglichen Wurf von Relay / 3B an 2B abdecken
,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Sure Double Right-Centerfield-Gap,"Double Relay mit Shortstop und 2. Baseman; Kommunikation CF / RF
Auch bei Runner auf 3B & 1B, 2B & 1B, 3B & 2B & 1B
",Wurf an Home abdecken,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play); Spielzug akustisch steuern",Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,Wurf an 3B abdecken,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen","Zum Ball gehen, ggf. aufnehmen und zum Relay werfen"
,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Sure Double Rightfield-Line,"Double Relay mit Shortstop und 2. Baseman
Auch bei Runner auf 3B & 1B, 2B & 1B, 3B & 2B & 1B
",Wurf an Home abdecken,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play); Spielzug akustisch steuern",Dem Schlagmann an 2B folgen und 2B absichern,Relay Position einnehmen,"Double Relay anfordern, Relay einweisen und Wurf annehmen (ggf. Tag Play)",Relay Position einnehmen,Wurf an 3B abdecken,Kommunikation mit Rightfielder,"Zum Ball gehen, ggf. aufnehmen und zum Relay werfen"
,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Sacrifice Bunt,"Sacrifice Bunt:  ggf. Out an 2B möglich
",ggf. Bunt aufnehmen und an 1B werfen (evtl. 2B mgl.),ggf. Bunt aufnehmen und an 1B werfen (evtl. 2B mgl.); Spielzug akustisch steuern,"ggf. Bunt aufnehmen und an 1B werfen (evtl. 2B mgl.); wird der Bunt zur 3B-Seite gespielt, zum Base zurückkehren",1B abdecken und Wurf annehmen,"ggf. Bunt aufnehmen und an 1B werfen (evtl. 2B mgl.); wird der Bunt zur 3B-Seite gespielt, zum Base zurückkehren",2B abdecken (ggf. Wurf annehmen),ggf. 3B abdecken,Möglichen Wurf an 2B abdecken,Wurf an 1B abdecken
